title,content
한국장학재단 고교취업연계장려금 신청,작년에 고교취업연계장려금 신청하고 회사 다니면서 근로계약서를 적은지 3개월이 지났습니다. 취업보고관리가 안 되어 있어서 하려고 보니 퇴사일이 필수로 적어야 한다고 나와있는데 어떻게 입력해야 하나요?
성범죄자 취업시,성범죄자 취업할때 신상정보 변경시 경찰서에 신상정보 꼭 무조건 재출 해야하나요?
재가취업이가능하나요,재가 정신장애가 잇는데 취업이될가여 집중이 잘안되는데여하지만 컴활2급이랑 아이티큐마스터잇는데여
국민취업지원제도 신청하면 얼마정도... ,국민취업지원제도 신청하면 얼마정도 걸리나요
실업급여도중에 취업후 퇴사했어요... ,안녕하세요실업급여 수급중에 취업을했습니다.한달반정도 일하고 안맞아서 퇴사했습니다.2025년 04월11~05월23일 자진퇴사그리고 다시 남은 실업급여 수급분까지 받다가 실업급여 끝나고나서다음 실업급여 신청할때 두달정도일한것도 포함되나요?180일에요?된다는사람도있고 안된다는사람도있어서ㅠㅠ확실하게 말해주실분? 4대보험가입햇습니다
일반편입과 학점은행제 취업 차이와 불이익,"1. 일반편입과 학점은행제에 취업차이와 불이익에 대해 알려주셨으면 감사하겠습니다! 2.저는 학과에 따라 다르다고 생각을 했기에, 제가 관심있는 학과는 (관광 / 심리 )는 편입을 해도 나중에 취업할 때 이득이 있는지3.저는 전문대/경기권4년제 대학을 먼저 입학하고 편입을 준비할 예정입니다다들 큰 차이가 없다고 하셔서 정말 그런지 궁금합니다..!!(2,3번은 꼭 질문에 대한 응답을 안하셔도 괜찮습니다)"
조기취업수당 관련,안녕하세요. 조기취업수당 관련하여 문의드립니다.2/28일자로 퇴직처리하고 3/3일에 실업급여 신청하고 14일 후에 재취업하면 조기취업수당 받을 수 있나요?찾아보니까 실업급여 접수일부터 14일 후에 취업시 받을 수 있다고 하는데 맞나요?영업일 14일인가요? 아님 주말포함 인가요?예를들어 3/3일 실업급여 신청 14일 후인 3/17일 재취업시 받을 수 잇나요?
공인노무사 연봉 취업,요즘은 뭘 하면서 미래를 준비해야 할지 모르겠네요ㅠㅠ휴 ㅠㅠㅠ 저는 24살 경영학과 휴학중인데요.알바 하면서 공인노무사 시험 준비해보려고 합니다. 학교는 지방대라서 취업 준비도 막막할 것 같아서...어차피 취업 준비 할거면 자격증 취득 하고나서 보장되는 직업을 찾고 싶은데요... 공인노무사 취업 채용은 어떤가요? 연봉도 궁금합니다.
시설관리 여자 취업,전기기사 자격증 따고 무제한 따면 노후에도 쉽게 취업된다는데 현실적으로 여자취업은 어떤가요? 취업 가능의 여부가 궁금한게아니라 현실적인 취업 난이도가 궁금합니다.남자분들처럼 그냥 쉽게쉽게 되나요?
국민취업지원제도 관련 질문,국민내일배움카드만으로 디자인 학원 수업을 듣다가 작년 12월 초반 정도에 수업을 수료하였는데 취직을 생산직으로 하고 싶어요. 국민취업지원제도에서 혹시 생산직 취업도 도와주나요? 국민내일배움카드로 다녔는데 이게 혹시 국민취업지원제도를 신청할 때에 제약같은게 될 수 있을까요?
국민취업지원제도 대학교 4학년,이제 4학년 1학기를 앞둔 대학생입니다. 취업 걱정과 생활비 걱정으로 국민취업지원제도를 신청하려고 하는데 1유형을 지금 신청하면 승인이 될까요?지금은 2유형 신청하고 6개월 뒤에 1유형 신청하는 게 나을까요?인생 선배님들 조언 부탁드립니다!
